WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
24229,20150901,0053,11,OVC060, ,10.00, , , ,64, ,17.8, ,58, ,14.6, ,54, ,12.2, , 70, , 7, ,190, , , ,29.84, , , , , ,29.95, ,AA, , , ,29.96,
24229,20150901,0153,11,OVC060, ,10.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, , 7, ,180, , , ,29.83, , , , , ,29.94, ,AA, , , ,29.95,
24229,20150901,0253,11,OVC055, ,10.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, , 3, ,200, , , ,29.83, , , , , ,29.94, ,AA, , , ,29.95,
24229,20150901,0353,11,OVC055, ,10.00, , , ,63, ,17.2, ,58, ,14.6, ,55, ,12.8, , 75, , 7, ,190, , , ,29.83, , , , , ,29.94, ,AA, , , ,29.95,
24229,20150901,0453,11,OVC060, ,10.00, , , ,63, ,17.2, ,58, ,14.4, ,54, ,12.2, , 73, , 3, ,180, , , ,29.83, , , , , ,29.94, ,AA, , , ,29.95,
24229,20150901,0553,11,FEW050 BKN070, ,10.00, , , ,63, ,17.2, ,58, ,14.4, ,54, ,12.2, , 73, , 6, ,170, , , ,29.82, , , , , ,29.94, ,AA, , , ,29.94,
24229,20150901,0653,11,FEW050 BKN070, ,10.00, , , ,63, ,17.2, ,58, ,14.4, ,54, ,12.2, , 73, , 3, ,170, , , ,29.82, , , , , ,29.94, ,AA, , , ,29.94,
24229,20150901,0753,11,BKN050 BKN070, ,10.00, , , ,66, ,18.9, ,59, ,15.0, ,54, ,12.2, , 65, , 7, ,170, , , ,29.81, , , , , ,29.93, ,AA, , , ,29.93,
24229,20150901,0853,11,FEW030 SCT050 BKN250, ,10.00, , , ,67, ,19.4, ,60, ,15.3, ,54, ,12.2, , 63, , 6, ,VR , , , ,29.80, , , , , ,29.92, ,AA, , , ,29.92,
24229,20150901,0953,11,SCT049 SCT070 BKN250, ,10.00, , , ,70, ,21.1, ,60, ,15.6, ,53, ,11.7, , 55, ,10, ,170, , , ,29.79, , , , , ,29.91, ,AA, , , ,29.91,
24229,20150901,1053,11,SCT042 SCT070 BKN250, ,10.00, , , ,72, ,22.2, ,61, ,16.1, ,53, ,11.7, , 51, ,10, ,190, , , ,29.78, , , , , ,29.89, ,AA, , , ,29.90,
24229,20150901,1153,11,FEW044 SCT070 BKN250, ,10.00, , , ,74, ,23.3, ,61, ,16.2, ,52, ,11.1, , 46, ,11, ,180, , , ,29.76, , , , , ,29.87, ,AA, , , ,29.88,
